"rpt_rec_num","Provider CCN","Hospital Name","Street Address","City","State Code","Zip Code","County","Medicare CBSA Number","Rural Versus Urban","CCN Facility Type","Provider Type","Type of Control","Fiscal Year Begin Date","Fiscal Year End Date","FTE - Employees on Payroll","Number of Interns and Residents (FTE)","Total Days Title V","Total Days Title XVIII","Total Days Title XIX","Total Days (V + XVIII + XIX + Unknown)","Number of Beds","Total Bed Days Available","Total Discharges Title V","Total Discharges Title XVIII","Total Discharges Title XIX","Total Discharges (V + XVIII + XIX + Unknown)","Number of Beds + Total for all Subproviders","Hospital Total Days Title V For Adults & Peds","Hospital Total Days Title XVIII For Adults & Peds","Hospital Total Days Title XIX For Adults & Peds","Hospital Total Days (V + XVIII + XIX + Unknown) For Adults & Peds","Hospital Number of Beds For Adults & Peds","Hospital Total Bed Days Available For Adults & Peds","Hospital Total Discharges Title V For Adults & Peds","Hospital Total Discharges Title XVIII For Adults & Peds","Hospital Total Discharges Title XIX For Adults & Peds","Hospital Total Discharges (V + XVIII + XIX + Unknown) For Adults & Peds","Cost of Charity Care","Total Bad Debt Expense","Cost of Uncompensated Care","Total Unreimbursed and Uncompensated Care","Total Salaries From Worksheet A","Overhead Non-Salary Costs","Depreciation Cost","Total Costs","Inpatient Total Charges","Outpatient Total Charges","Combined Outpatient + Inpatient Total Charges","Wage-Related Costs (Core)","Wage-Related Costs (RHC/FQHC)","Total Salaries (adjusted)","Contract Labor: Direct Patient Care","Wage Related Costs for Part - A Teaching Physicians","Wage Related Costs for Interns and Residents","Cash on Hand and in Banks","Temporary Investments","Notes Receivable","Accounts Receivable","Less: Allowances for Uncollectible Notes and Accounts Receivable","Inventory","Prepaid Expenses","Other Current Assets","Total Current Assets","Land","Land Improvements","Buildings","Leasehold Improvements","Fixed Equipment","Major Movable Equipment","Minor Equipment Depreciable","Health Information Technology Designated Assets","Total Fixed Assets","Investments","Other Assets","Total Other Assets","Total Assets","Accounts Payable","Salaries, Wages, and Fees Payable","Payroll Taxes Payable","Notes and Loans Payable (Short Term)","Deferred Income","Other Current Liabilities","Total Current Liabilities","Mortgage Payable","Notes Payable","Unsecured Loans","Other Long Term Liabilities","Total Long Term Liabilities","Total Liabilities","General Fund Balance","Total Fund Balances","Total Liabilities and Fund Balances","DRG Amounts Other Than Outlier Payments","DRG Amounts Before October 1","DRG Amounts After October 1","Outlier Payments For Discharges","Disproportionate Share Adjustment","Allowable DSH Percentage","Managed Care Simulated Payments","Total IME Payment","Inpatient Revenue","Outpatient Revenue","Total Patient Revenue","Less Contractual Allowance and Discounts on Patients' Accounts","Net Patient Revenue","Less Total Operating Expense","Net Income from Service to Patients","Total Other Income","Total Income","Total Other Expenses","Net Income","Cost To Charge Ratio","Net Revenue from Medicaid","Medicaid Charges","Net Revenue from Stand-Alone CHIP","Stand-Alone CHIP Charges"
556684,454129,GEORGETOWN BEHAVIORAL HEALTH INSTITU,3101 S AUSTIN AVENUE,GEORGETOWN,TX,78626,,,NA,PH,4,4,10/28/2014,12/31/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
571051,660001,COMMONWEALTH HEALTH CENTER,LOWER NAVY HILL RD.,SAIPAN,MP,96950,CNMI,99966,R,STH,1,13,10/01/2014,09/30/2015,524.44,,,,,17399,74,27010,,,,3027,74,,,,15332,70,25550,,,,3027,,,,,21491954,17414199,1229411,44603283,15000,12000,27000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38906153,-38906153,,-38906153,,-38906153,1651.973444,,,,
572181,341317,PIONEER HLTH SERV OF STOKES CNTY,1570 NC 8 & 89 HWY,DANBURY,NC,27016,STOKES,49180,U,CAH,1,4,10/01/2014,09/30/2015,206.77,,,2095,18,5636,25,9125,,167,9,444,71,,647,18,1681,25,9125,,167,9,444,,,-37947,-37947,9975847,14267463,313081,24606671,12421384,30730629,43152013,,,,,,,-553713,,,9675967,-4107600,2019,246710,,3961368,6354,,2534060,1116286,71022,516177,1074786,1536761,6095503,,,,10056871,2298441,585276,945278,161628,,685239,4778156,,7407440,,,7407440,12185596,-2128725,-2128725,10056871,,,,,,,,,12419093,32495252,44914345,22324592,22589753,24243310,-1653557,-4476879,-6130436,,-6130436,0.570232,,,,
572208,421302,FAIRFIELD MEMORIAL HOSPITAL,102 US HWY 31 BYPASS NORTH,WINSBORO,SC,29180-0620,FAIRFIELD,17900,U,CAH,1,9,10/01/2014,09/30/2015,92.57,,,504,11,1235,25,9125,,40,17,104,25,,139,11,479,25,9125,,40,17,104,261174,3086972,2075142,2075142,5684920,7867694,572099,10958972,1605963,16397422,18003385,,,,,,,100082,,,1891010,,127948,170553,-3243,2306601,43991,,9086017,,84532,12319940,,,5827214,773519,,773519,8907334,2840572,617060,,432260,46533,1694271,5630696,2288514,,,,2288514,7919210,988124,988124,8907334,,,,,,,,,1688272,20683419,22371691,9351026,13020665,13552614,-531949,2651899,2119950,3086972,-967022,0.608717,155862,419734,,
572654,514011,HIGHLAND CLARKSBURG HOSPITAL,3 HOSPITAL PLAZA,CLARKSBURG,WV,26301,,,NA,PH,4,1,10/01/2014,09/30/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
572680,341319,TRANSYLVANIA COMMUNITY HOSPITAL,260 HOSPITAL DRIVE,BREVARD,NC,28712-,TRANSYLVANIA,99934,R,CAH,1,2,10/01/2014,09/30/2015,295.02,,,3115,689,5643,25,9125,,841,258,1563,35,,2869,530,5082,21,7665,,841,258,1563,2048956,8997955,4884270,6098815,16689460,46069620,2661311,49335774,26284402,117856217,144140619,,,,,,,7164898,907368,,24716675,-15484147,1446912,54674,,24653223,7111000,438020,19803975,5700,81150,8186737,,,28066627,16396546,3002705,29152808,81872658,1089121,2602124,,,,5582485,12010853,,,,11188224,11188224,23199077,58673581,58673581,81872658,,,,,,,,,28270689,131015591,159286280,101598334,57687946,62759080,-5071134,9101780,4030646,,4030646,0.342275,5958123,20955862,,
572992,341318,CHOWAN HOSPITAL INC.,211 VIRGINIA AVENUE,EDENTON,NC,27932,CHOWAN,99934,R,CAH,1,2,10/01/2014,09/30/2015,274.9,,,2754,1124,4786,25,9125,,653,532,1692,25,,1904,654,2989,21,7665,,653,532,1692,3214470,4592082,4706100,6088469,15634581,25364616,2364763,41239324,33590029,79178770,112768799,,,,,,,6123861,,,14613324,-7195782,1915066,411191,-2312787,13554873,568351,873751,28943183,,,19667828,,,20122731,,1271907,1271907,34949511,3701225,2266538,,,,,6269562,,,,8500136,8500136,14769698,20179813,20179813,34949511,,,,,,,,,33910118,79946846,113856964,61221814,52635150,46012999,6622151,3526788,10148939,,10148939,0.365698,5950189,20008260,34601,137212
573836,424003,SOUTH CAROLINA DEPT OF MENTAL HEALTH,1800 COLONIAL DRIVE,COLUMBIA,SC,29203-6827,,,NA,PH,4,3,07/01/2015,12/16/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
574342,271326,BEARTOOTH BILLINGS CLINIC,2525 NORTH BROADWAY,RED LODGE,MT,59806,CARBON,99927,R,CAH,1,2,01/01/2015,06/30/2015,79.94,,,502,15,724,10,1810,,49,7,100,10,,139,15,257,10,1810,,49,7,100,347323,429579,647589,667750,2219485,3987311,638161,5465174,1894768,5686768,7581536,,,,,,,2021042,3164302,,3812362,-790907,311499,86629,,8631313,774520,1717859,15244250,,,4660882,,,15661752,,96169,96169,24389234,225782,188233,144581,118908,,426582,1277482,17893179,338300,,,18231479,19508961,4880273,4880273,24389234,,,,,,,,,1912710,7016348,8929058,2408584,6520474,6206796,313678,503152,816830,,816830,0.720853,336121,464809,150252,236405
574740,234025,CARO CENTER,2000 CHAMBERS ROAD,CARO,MI,48723,TUSCOLA,19820,R,PH,4,10,10/01/2014,09/30/2015,383,,,796,4138,52912,204,74460,,14,2,140,204,,796,4138,52912,204,74460,,14,2,140,,,-18760,-18760,18931773,29072744,321922,41039825,39907615,,39907615,,,18931773,,,,,,,,,,,,,55791,2193229,12728601,,,235759,1,,12915477,,,,12915477,,,,,,,,,,,,,,12915477,12915477,12915477,,,,,,,,,,,,,,48004517,-48004517,48004517,,,,1.028371,,,,
