"rpt_rec_num","Provider CCN","Hospital Name","Street Address","City","State Code","Zip Code","County","Medicare CBSA Number","Rural Versus Urban","CCN Facility Type","Provider Type","Type of Control","Fiscal Year Begin Date","Fiscal Year End Date","FTE - Employees on Payroll","Number of Interns and Residents (FTE)","Total Days Title V","Total Days Title XVIII","Total Days Title XIX","Total Days (V + XVIII + XIX + Unknown)","Number of Beds","Total Bed Days Available","Total Discharges Title V","Total Discharges Title XVIII","Total Discharges Title XIX","Total Discharges (V + XVIII + XIX + Unknown)","Number of Beds + Total for all Subproviders","Hospital Total Days Title V For Adults & Peds","Hospital Total Days Title XVIII For Adults & Peds","Hospital Total Days Title XIX For Adults & Peds","Hospital Total Days (V + XVIII + XIX + Unknown) For Adults & Peds","Hospital Number of Beds For Adults & Peds","Hospital Total Bed Days Available For Adults & Peds","Hospital Total Discharges Title V For Adults & Peds","Hospital Total Discharges Title XVIII For Adults & Peds","Hospital Total Discharges Title XIX For Adults & Peds","Hospital Total Discharges (V + XVIII + XIX + Unknown) For Adults & Peds","Cost of Charity Care","Total Bad Debt Expense","Cost of Uncompensated Care","Total Unreimbursed and Uncompensated Care","Total Salaries From Worksheet A","Overhead Non-Salary Costs","Depreciation Cost","Total Costs","Inpatient Total Charges","Outpatient Total Charges","Combined Outpatient + Inpatient Total Charges","Wage-Related Costs (Core)","Wage-Related Costs (RHC/FQHC)","Total Salaries (adjusted)","Contract Labor: Direct Patient Care","Wage Related Costs for Part - A Teaching Physicians","Wage Related Costs for Interns and Residents","Cash on Hand and in Banks","Temporary Investments","Notes Receivable","Accounts Receivable","Less: Allowances for Uncollectible Notes and Accounts Receivable","Inventory","Prepaid Expenses","Other Current Assets","Total Current Assets","Land","Land Improvements","Buildings","Leasehold Improvements","Fixed Equipment","Major Movable Equipment","Minor Equipment Depreciable","Health Information Technology Designated Assets","Total Fixed Assets","Investments","Other Assets","Total Other Assets","Total Assets","Accounts Payable","Salaries, Wages, and Fees Payable","Payroll Taxes Payable","Notes and Loans Payable (Short Term)","Deferred Income","Other Current Liabilities","Total Current Liabilities","Mortgage Payable","Notes Payable","Unsecured Loans","Other Long Term Liabilities","Total Long Term Liabilities","Total Liabilities","General Fund Balance","Total Fund Balances","Total Liabilities and Fund Balances","DRG Amounts Other Than Outlier Payments","DRG Amounts Before October 1","DRG Amounts After October 1","Outlier Payments For Discharges","Disproportionate Share Adjustment","Allowable DSH Percentage","Managed Care Simulated Payments","Total IME Payment","Inpatient Revenue","Outpatient Revenue","Total Patient Revenue","Less Contractual Allowance and Discounts on Patients' Accounts","Net Patient Revenue","Less Total Operating Expense","Net Income from Service to Patients","Total Other Income","Total Income","Total Other Expenses","Net Income","Cost To Charge Ratio","Net Revenue from Medicaid","Medicaid Charges","Net Revenue from Stand-Alone CHIP","Stand-Alone CHIP Charges"
574845,414003,EMMA P BRADLEY HOSPITAL,1011 VETERANS MEMORIAL PARKWAY,EAST PROVIDENCE,RI,02915-5061,,,NA,PH,1,5,10/01/2014,09/30/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
574902,154060,PARK CENTER  INC.,1909 CAREW STREET,FORT WAYNE,IN,46805,ALLEN,23060,U,PH,4,2,12/05/2014,06/30/2015,402.23,,,172,,777,16,3328,,28,,162,16,,172,,777,16,3328,,28,,162,,,,,8799037,7629666,1,6568339,672000,1080135,1752135,,,,,,,552254,186647,,2922940,,,242087,72380,5945931,1189880,,14084758,,5308097,,,,6583768,,2561613,2561613,15091312,585486,1669067,,133000,,533926,2921479,,2743587,,,2743587,5665066,9426246,9426246,15091312,,,,,,,,,2515929,11613173,14129102,2562685,11566417,16428703,-4862286,2128000,-2734286,,-2734286,,,,,
576474,034031,QUAIL RUN BEHAVIORAL HEALTH,2545 WEST QUAIL AVENUE,PHOENIX,AZ,85027,MARICOPA,38060,U,PH,4,4,02/04/2015,05/31/2015,,,,224,,3612,102,11832,,24,,487,102,,224,,3612,102,11832,,24,,487,,,,,1649156,2379694,390000,2927385,7153575,189066,7342641,2547494,,1649156,,,,7104,,,7393168,-6226567,22637,35784,,1232126,,,,,,9616,,,21441849,,,,22673975,172330,420429,70556,,,,663315,,,26905430,,26905430,27568745,-4894769,-4894769,22673976,,,,,,,,,7153575,234403,7387978,5377017,2010961,4028850,-2017889,5824,-2012065,8,-2012073,0.398683,,,,
576696,234041,CENTER FOR FORENSIC PHYCHIATRY,1500 MEDICAL CENTER DRIVE,ANN ARBOR,MI,48106,WASHTENAW,11460,U,PH,4,10,10/01/2014,09/30/2015,492,5,,1191,2745,80587,236,86140,,21,12,242,236,,1191,2745,80587,236,86140,,21,12,242,,,-65108,-65108,31687161,41000470,2922652,75764406,25485604,,25485604,,,31687161,,,,,,,,,,,,,5967,,105180712,,1516772,1304150,,,79717525,,,,79717525,100000,,,,,,100000,,,,,,100000,79617525,79617525,79717525,,,,,,,,,,,,,,72687631,-72687631,72687630,-1,,-1,2.972831,,,,
576827,363304,CLEVELAND CLINIC CHILDRENS HOSP,6801 BRECKSVILLE RD,INDEPENDENCE,OH,44131,,,NA,CH,5,4,01/01/2015,12/31/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
576920,344028,STRATEGIC BEHAVIORAL CENTER-GARNER,3200 WATERFIELD DRIVE,GARNER,NC,27529-7727,,,NA,PH,1,1,01/01/2015,12/31/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
577041,344030,SBH WILMINGTON LLC,2050 MERCANTILE DR,LELAND,NC,28451,,,NA,PH,4,5,01/01/2015,12/31/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
577490,263304,SHRINERS HOSPITAL FOR CHILDREN,4400 CLAYTON AVE,ST LOUIS,MO,63110-1624,,,NA,CH,7,2,01/01/2015,12/31/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
577531,420016,SOUTHERN PALMETTO HOSPITAL,811 REYNOLDS ROAD,BARNWELL,SC,29812,BARNWELL,99942,R,STH,1,9,01/01/2015,12/31/2015,121.03,,,824,46,1270,10,3650,,120,14,300,10,,303,46,749,10,3650,,120,14,300,93524,5534746,3041743,3399950,5636910,5357260,1220092,10830674,3532638,16486604,20019242,754669,59173,5636910,,,,437923,,,1112526,,341810,125695,,2019604,,,937967,,,,,,937967,,,,2957571,456579,305486,,3686143,,230000,4678208,,,,645930,645930,5324138,-2366567,-2366567,2957571,,372771,124257,,12177,0.098,,,3406758,16321449,19728207,12546947,7181260,10994170,-3812910,2653913,-1158997,,-1158997,0.541013,1326869,4900910,,
577665,251302,PIONEER HEALTH SERVICES OF MONROE C,400 SOUTH CHESTNUT STREET,ABERDEEN,MS,39730,MONROE,27140,R,CAH,1,4,01/01/2015,12/31/2015,151.57,,,4436,74,5248,25,9125,,258,19,337,35,,836,74,1077,25,9125,,258,19,337,122603,2649452,1610049,1912352,9317811,14300482,395299,23344411,13554266,25984940,39539206,,,,,,,2989054,,,6869655,-4613101,12068,221982,,3530789,,,-38509,2392178,95250,631095,829745,4581256,5564959,,,610,9096358,2360548,715849,495533,,,309735,4194761,,6907021,,1045,6908066,11102827,-2006469,-2006469,9096358,,,,,,,,,13656184,27051693,40707877,17516554,23191323,23618293,-426970,1331294,904324,2649452,-1745128,0.590412,2465916,4688622,71650,112402
577778,511303,MINNIE HAMILTON HEALTH CARE CENTER,186 HOSPITAL DRIVE,GRANTSVILLE,WV,26147-,CALHOUN,99951,R,CAH,1,2,01/01/2015,12/31/2015,190.72,,,1085,63,1486,25,9125,,137,23,219,49,,469,63,729,25,9125,,137,23,219,681841,1649534,1880707,1880707,12101390,9596219,574814,18223311,6213193,18451667,24664860,,,,,,,349755,,,5149617,,144626,92412,,5894132,,,10932664,,,,,,2761578,,,,8655710,844411,,651921,,,,1496332,,1860299,,,1860299,3356631,5299079,5299079,8655710,,,,,,,,,6223199,20750750,26973949,7673407,19300542,21697609,-2397067,2933551,536484,,536484,0.738837,5614468,6466769,56607,37896
577942,244016,PRAIRIECARE,12915 63RD AVENUE N,MAPLE GROVE,MN,55369,,,NA,PH,4,4,01/01/2015,12/31/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
578391,304001,HAMPSTEAD HOSPITAL,218 EAST ROAD,HAMPSTEAD,NH,03841-2305,,,NA,PH,4,3,01/01/2015,12/31/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
578626,423300,SHRINER HSOPITALS FOR CHILDREN,950 W FARIS ROAD,GRENNVILLE,SC,29605-4255,,,NA,CH,1,3,01/01/2015,12/31/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
578773,251332,PIONEER COMM HOSP OF NEWTON CO,9421 EAST SIDE DRIVE EXTENSTION,NEWTON,MS,39345,NEWTON,27140,R,CAH,1,4,01/01/2015,12/31/2015,166,,,2023,359,2819,21,7056,,166,150,404,30,,617,359,1203,21,7056,,166,150,404,64492,,17568,17568,5725354,7921545,560319,13178777,7934629,14693188,22627817,,,,,,,-3002751,,,2604160,-1781437,46931,124413,,-3735904,100144,,6352469,5565,,1356066,866674,1799873,8217245,,,,4481341,1735751,63642,925058,,,1000,3351543,,8677051,,,8677051,12028594,-7547253,-7547253,4481341,,,,,,,,,7896303,15583225,23479528,10204596,13274932,13646899,-371967,581544,209577,2522333,-2312756,0.582415,1838532,3872524,67128,105405
578938,453311,SHINERS HOSPITAL GALVESTON,815 MARKET STREET,GALVESTON,TX,77550,,,NA,CH,7,2,01/01/2015,12/31/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579540,491306,PIONEER HLTH SERVICES OF PATRICK CO,ROUTE 2,STUART,VA,24171,PATRICK,40060,R,CAH,1,4,01/01/2015,12/31/2015,174,,,2991,10,3696,25,9125,,284,2,395,25,,1044,10,1462,25,9125,,284,2,395,211647,1852358,1186566,1888532,5143166,8420183,484661,13895581,6506143,18396924,24903067,,,,,,,833565,,,4990018,-3754421,52524,73929,,640988,80249,,7421709,237991,117948,878265,1146628,1584150,9783058,,,,10424046,1899377,275762,136130,,,322716,2486563,,9827113,,,9827113,12313676,-1889630,-1889630,10424046,,,,,,,,,6424191,19500540,25924731,11705940,14218791,13563349,655442,61858,717300,1852358,-1135058,0.557987,800791,2677456,2206,19672
579562,341325,ASHE MEMORIAL HOSPITAL,200 HOSPITAL AVENUE,JEFFERSON,NC,28640-,ASHE,99934,R,CAH,1,2,01/01/2015,12/31/2015,193.53,,,2991,537,5012,25,9125,,679,261,1277,25,,2586,393,4263,25,9125,,679,261,1277,337281,4856640,2213937,2640385,11837820,15299348,1104593,21594654,13513220,38767072,52280292,,,,,,,3779257,5490,,2133252,,698031,267918,,7388985,174807,1340928,15878061,,748848,11352694,,2325524,7883924,490022,1171198,1661220,16934129,1505894,1119534,763711,506780,,227990,4123909,,2684209,,,2684209,6808118,10126011,10126011,16934129,,,,,,,,,14998107,41419345,56417452,31213442,25204010,27137168,-1933158,2556255,623097,,623097,0.413055,2355259,6734470,,
579622,264029,ST. LOUIS REG PSYCH STABIL CTR,5355 DELMAR BOULEVARD,ST. LOUIS,MO,63112,ST. LOUIS,41180,U,PH,4,2,01/01/2015,04/07/2015,18.97,,,408,568,1968,25,2450,,45,101,359,25,,408,568,1968,25,2450,,45,101,359,,,,,845510,1332584,147660,2734539,4329600,,4329600,,,,,,,995641,,,284790,-114628,,4320,,1170123,,,,,,,,,,,,,1170123,526896,15973,,,460196,,1003065,,,,,,1003065,167058,167058,1170123,,,,,,,,,5166694,,5166694,3294144,1872550,2178094,-305544,305544,,,,,,,,
579747,374017,WILLOW CREST HOSPITAL,130 A STREET SOUTHWEST,MIAMI,OK,74354,,,NA,PH,9,4,01/01/2015,12/31/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579885,363308,SHRINERS HOSPITALS FOR CHILDREN,PO BOX 31356,CINCINNATI,OH,45201,,,NA,CH,1,6,01/01/2015,12/31/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580083,223303,THE SHRINERS HOSPITAL FOR CHILDREN,516 CAREW STREET,SPRINGFIELD,MA,01104-2330,,,NA,CH,5,3,01/01/2015,12/31/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580084,223304,THE SHRINERS HOSPITAL FOR CHILDREN,51 BLOSSOM STREET,BOSTON,MA,02114-2699,,,NA,CH,7,3,01/01/2015,12/31/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580146,183300,SHRINERS HOSPITAL FOR CHILDREN,1900 RICHMOND ROAD,LEXINGTON,KY,40502,,,NA,CH,7,5,01/01/2015,12/31/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580312,104073,EMERALD COAST BEHAVIORAL HOSPITAL,1900 HARRISON AVENUE,PANAMA CITY,FL,32405,BAY,37460,U,PH,4,4,11/01/2014,10/31/2015,157.8,,,4120,,25856,86,31390,,424,,2761,86,,4120,,25856,86,31390,,424,,2761,,,,,7311330,8703282,378778,10141323,39912900,2425692,42338592,,,,,,,-94163,,,5098040,-3143261,66020,51896,,2214506,2470000,,,4893145,,712674,,,6387533,117520,1167170,1284690,9886729,247762,375104,369158,,,112790,1104814,,,,622358,622358,1727172,8159557,8159557,9886729,,,,,,,,,39912900,9601799,49514699,30331699,19183000,16014612,3168388,148574,3316962,,3316962,,,,,
580348,453308,OUR CHILDRENS HOUSE,3301 SWISS AVENUE,DALLAS,TX,75204,,,NA,CH,7,1,01/01/2015,09/19/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580589,103303,SHRINERS HOSPITAL FOR CHILDREN TAMPA,12505 USF PINE DRIVE,TAMPA,FL,33612,,,NA,CH,7,4,01/01/2015,12/31/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580684,364045,POMEGRANATE HEALTH SYSTEMS,65418 BARKCAMP PARK ROAD,BELMONT,OH,43718,,,NA,PH,2,4,01/01/2015,06/30/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580803,012010,NOLAND HOSPITAL DOTHAN,1180 ROSS CLARK CIRCLE 4TH FLOOR,DOTHAN,AL,36301,HOUSTON,20020,U,LTCH,2,2,10/01/2014,12/31/2014,65.6,,,1979,,2103,38,3496,,78,,89,38,,1979,,2103,38,3496,,78,,89,,,,,920978,1335487,47093,2435014,7143971,,7143971,,,,,,,-191614,,,-424451,,,10295,,16141027,,,,57508,,1673762,,,440935,,272,272,16582234,651045,161378,10758,,,,844761,,,,,,844761,15737473,15737473,16582234,,,,,,,,,7143971,,7143971,4449274,2694697,2256465,438232,504,438736,20877,417859,,,,,
580863,333301,BLYTHEDALE CHILDRENS HOSPITAL,95 BRADHURST AVENUES,VALHALLA,NY,10595,,,NA,CH,1,3,01/01/2015,12/31/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580912,104008,JEROME GOLDEN CENTER FOR BEHAVIORAL,1041 45TH STREET,WEST PALM BEACH,FL,33407-2415,PALM BEACH,48424,U,PH,4,4,10/01/2014,09/30/2015,284.92,,,1346,,12013,44,16060,,156,,1602,44,,1346,,12013,44,16060,,156,,1602,,,,,11189951,13807704,758318,16605378,10518824,12131053,22649877,,,,,,,1341255,,,1280857,,117963,570063,,5104866,1568168,,13093379,,,2804434,,,6159796,,,569871,11834533,1226740,659227,453971,550938,64571,1446264,4401711,,758464,,,758464,5160175,6501569,6674358,11834533,,,,,,,,,10518824,13724830,24243654,,24243654,24997655,-754001,550641,-203360,,-203360,,,,,
580923,152027,VIBRA HOSP FORT WAYNE,2200 RANDALLIA DRIVE,FORT WAYNE,IN,46805-4638,ALLEN,23060,U,LTCH,2,6,11/01/2014,10/31/2015,70.78,,,4462,,6783,48,17520,,183,,253,48,,4462,,6783,48,17520,,183,,253,,,-54247,-54247,4267027,6880729,20842,10647419,24159316,,24159316,,,4267027,,,,-366115,,,2538451,-627091,161678,296954,,2003877,,6534,,9850,,118958,,,85878,,499616,499616,2589371,413795,292284,80822,,,69174,89560,,,,447614,447614,537174,2052197,2052197,2589371,,,,,,,,,23972218,,23972218,12595722,11376496,11147756,228740,4781,233521,246584,-13063,0.440717,,,,
580929,453312,SHRINERS HOSPITALS FOR CHILDREN-HOUS,6977 MAIN STREET,HOUSTON,TX,77030,,,NA,CH,1,10,01/01/2015,12/31/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
