"rpt_rec_num","Provider CCN","Hospital Name","Street Address","City","State Code","Zip Code","County","Medicare CBSA Number","Rural Versus Urban","CCN Facility Type","Provider Type","Type of Control","Fiscal Year Begin Date","Fiscal Year End Date","FTE - Employees on Payroll","Number of Interns and Residents (FTE)","Total Days Title V","Total Days Title XVIII","Total Days Title XIX","Total Days (V + XVIII + XIX + Unknown)","Number of Beds","Total Bed Days Available","Total Discharges Title V","Total Discharges Title XVIII","Total Discharges Title XIX","Total Discharges (V + XVIII + XIX + Unknown)","Number of Beds + Total for all Subproviders","Hospital Total Days Title V For Adults & Peds","Hospital Total Days Title XVIII For Adults & Peds","Hospital Total Days Title XIX For Adults & Peds","Hospital Total Days (V + XVIII + XIX + Unknown) For Adults & Peds","Hospital Number of Beds For Adults & Peds","Hospital Total Bed Days Available For Adults & Peds","Hospital Total Discharges Title V For Adults & Peds","Hospital Total Discharges Title XVIII For Adults & Peds","Hospital Total Discharges Title XIX For Adults & Peds","Hospital Total Discharges (V + XVIII + XIX + Unknown) For Adults & Peds","Cost of Charity Care","Total Bad Debt Expense","Cost of Uncompensated Care","Total Unreimbursed and Uncompensated Care","Total Salaries From Worksheet A","Overhead Non-Salary Costs","Depreciation Cost","Total Costs","Inpatient Total Charges","Outpatient Total Charges","Combined Outpatient + Inpatient Total Charges","Wage-Related Costs (Core)","Wage-Related Costs (RHC/FQHC)","Total Salaries (adjusted)","Contract Labor: Direct Patient Care","Wage Related Costs for Part - A Teaching Physicians","Wage Related Costs for Interns and Residents","Cash on Hand and in Banks","Temporary Investments","Notes Receivable","Accounts Receivable","Less: Allowances for Uncollectible Notes and Accounts Receivable","Inventory","Prepaid Expenses","Other Current Assets","Total Current Assets","Land","Land Improvements","Buildings","Leasehold Improvements","Fixed Equipment","Major Movable Equipment","Minor Equipment Depreciable","Health Information Technology Designated Assets","Total Fixed Assets","Investments","Other Assets","Total Other Assets","Total Assets","Accounts Payable","Salaries, Wages, and Fees Payable","Payroll Taxes Payable","Notes and Loans Payable (Short Term)","Deferred Income","Other Current Liabilities","Total Current Liabilities","Mortgage Payable","Notes Payable","Unsecured Loans","Other Long Term Liabilities","Total Long Term Liabilities","Total Liabilities","General Fund Balance","Total Fund Balances","Total Liabilities and Fund Balances","DRG Amounts Other Than Outlier Payments","DRG Amounts Before October 1","DRG Amounts After October 1","Outlier Payments For Discharges","Disproportionate Share Adjustment","Allowable DSH Percentage","Managed Care Simulated Payments","Total IME Payment","Inpatient Revenue","Outpatient Revenue","Total Patient Revenue","Less Contractual Allowance and Discounts on Patients' Accounts","Net Patient Revenue","Less Total Operating Expense","Net Income from Service to Patients","Total Other Income","Total Income","Total Other Expenses","Net Income","Cost To Charge Ratio","Net Revenue from Medicaid","Medicaid Charges","Net Revenue from Stand-Alone CHIP","Stand-Alone CHIP Charges"
603179,191313,RIVERSIDE MEDICAL CENTER,1900 SOUTH MAIN STREET,FRANKLINTON,LA,70438-,WASHINGTON,99919,U,CAH,9,11,01/01/2013,12/31/2013,178.3,,,2131,23,2770,25,9125,,386,5,562,25,,1371,20,1985,20,7300,,386,5,562,4392,2996989,1198476,1198476,9032518,11950017,657235,18499512,8148926,35341118,43490044,,,,,,,398587,,,5696255,-3275453,257375,89922,234999,7355750,42921,889758,12569824,2256,265180,5732227,47674,,4846209,,,,12201959,1837646,1488996,,,,148922,3475564,,202198,,,202198,3677762,8524197,8524197,12201959,,,,,,,,,8148926,35341118,43490044,27284983,16205061,20982535,-4777474,5284428,506954,,506954,0.425373,2482718,5561721,,
603180,192051,REGENCY HOSPITAL OF COVINGTON,195 HIGHLAND PARK ENTRANCE,COVINGTON,LA,70433,ST.TAMMANY,35380,U,LTCH,2,4,11/01/2012,10/31/2013,88.48,,,6788,,7960,38,13870,,266,,313,38,,6788,,7960,38,13870,,266,,313,,,-60985,-60985,5311179,7013043,536209,12275476,43695388,,43695388,,,5311179,,,,,,,921113,-483546,,,80987,518554,1830000,-9500,7025965,3400,,1203810,,,8569234,,38255,-1651431,7436357,407997,261629,,,,,-1221320,,9875000,,,9875000,8653680,-1217323,-1217323,7436357,,,,,,,,,43695388,,43695388,32494268,11201120,12307429,-1106309,354621,-751688,593534,-1345222,0.280933,,,,
603267,220111,GOOD SAMARITAN HOSPITAL,235 N PEARL ST,BROCKTON,MA,02301,PLYMOUTH,14484,U,STH,1,4,01/01/2013,12/31/2013,1177,6.41,,24588,5859,64558,229,83585,,5426,1409,15971,245,,22137,5859,56128,211,77015,,5426,1409,15971,5337134,8589803,9196198,16214390,94160902,142567632,3773872,216667626,195051435,215971520,411022955,24884992,,94160902,1988125,,,2950,,,55005470,-29989967,3166721,702181,1155771,31225545,9821977,305739,49127351,1597276,1063734,21849284,,,69188854,,1149953,1149953,101564352,55403904,15055307,,,,11006190,81465401,,,,24367764,24367764,105833165,-4268813,-4268813,101564352,,36164356,11953265,1363460,7168855,0.1831,11960021,925736,198282638,215971523,414254161,178822430,235431731,236728534,-1296803,11240569,9943766,,9943766,0.527142,32110119,74227269,,
603281,030093,BANNER DEL E WEBB MEDICAL CENTER,14502 WEST MEEKER BOULEVARD,SUN CITY WEST,AZ,85375-,MARICOPA,38060,U,STH,1,2,01/01/2013,12/31/2013,1298.87,0.14,,21036,7219,56822,344,125560,,5140,2728,15054,404,,19554,6642,49792,310,113150,,5140,2728,15054,9302528,26253895,13919576,20970484,83301993,149138648,13618529,215561401,646676842,569670121,1216346963,21768993,,83301993,1517183,6042,4464,4272,,6967987,78214786,-55799152,8378739,,-1082927,36683705,1935839,5159692,106656290,,73544699,108491222,,,159093648,,6384020,6384020,202161373,3301637,6255839,,3149415,,1403479,14110370,,150642054,,502627,151144681,165255051,36906322,36906322,202161373,,31989460,11273283,146888,988541,0.0284,34411789,,646676841,569670120,1216346961,972293392,244053569,232440641,11612928,2340379,13953307,,13953307,0.17722,16072788,130480173,,
603300,310019,ST. JOSEPHS HOSPITAL & MEDICAL CTR,703 MAIN STREET,PATERSON,NJ,07503,PASSAIC,35644,U,STH,1,1,01/01/2013,12/31/2013,4194.3,210.9,,53992,13529,173390,704,236562,,8693,2973,35665,724,,44762,6074,132469,576,189842,,8693,2973,35665,79126778,58976301,89308371,89308371,310050661,365295054,32350487,532283044,2267480307,762328930,3029809237,69631984,,310050661,1088328,1551131,2712394,79375000,86026000,,405834000,-341833000,7614000,2947000,253000,254604000,11441000,4161000,409495000,10105000,21449000,203945000,557000,,310897000,59597000,44763000,104360000,669861000,37765000,50724000,,7576000,162000,10527000,106754000,225409000,,,129930000,355339000,462093000,207768000,207768000,669861000,,71433586,20976087,1494951,20833306,0.2717,27302310,14966273,2299670478,780609563,3080280041,2390603444,689676597,687883325,1793272,94767811,96561083,7867083,88694000,0.175682,116119031,821405344,,
603303,391308,CORRY MEMORIAL HOSPITAL,965 SHAMROCK LANE,CORRY,PA,16407-,ERIE,21500,U,CAH,9,2,07/01/2013,06/30/2014,180.74,,,1554,98,2792,17,6385,,297,23,583,17,,1145,98,2237,17,6385,,297,23,583,75887,1998750,708617,1363523,8777882,13814855,2621574,18503985,9248534,36848822,46097356,,,,,,,1133385,,,1571669,,193204,187726,,3398618,179560,3117327,33462249,,2880747,11431129,,,28869078,1614797,10316581,11931378,44199074,2299115,844343,339851,377768,,99274,3960351,34011179,,,1664546,35675725,39636076,4562998,4562998,44199074,,,,,,,,,9248534,40637042,49885576,27929101,21956475,24884160,-2927685,661901,-2265784,,-2265784,0.401411,2116440,6904012,,
603347,301301,COTTAGE HOSPITAL,90 SWIFTWATER ROAD,WOODSVILLE,NH,03785-,GRAFTON,30100,R,CAH,1,2,10/01/2012,09/30/2013,183.42,,160,4194,271,5768,25,9125,37,433,72,715,25,160,1800,271,2681,25,9125,37,433,72,715,1405952,1656704,2301477,2301477,12358153,16619488,1066941,24897833,14912089,31148399,46060488,,,,,,,2666663,,,2830403,,506864,,214733,7626532,,500071,12587490,,1903990,10148512,,,11421551,9911749,173344,10244440,29292523,1164512,966002,,,,1334196,5424196,,,,7593098,7593098,13017294,16275229,16275229,29292523,,,,,,,,,15944431,34887723,50832154,22621160,28210994,28977641,-766647,1653618,886971,,886971,0.540546,1395787,3001429,,
603349,301310,ANDROSCOGGIN VALLEY HOSPITAL,59 PAGE HILL ROAD,BERLIN,NH,03570-,COOS,99930,R,CAH,1,2,01/01/2013,12/31/2013,327.64,,,3429,455,5639,25,9125,,558,111,1196,25,,1905,264,3245,25,9125,,558,111,1196,1353556,3016514,2696509,4053266,23797229,32826696,1790893,43259284,20146609,68709490,88856099,,,,,,,6837004,,,15137406,-8006870,360558,2628507,,17457511,77592,1136840,24682535,359449,3114632,11507588,,4045379,15183179,21165493,4227869,25393362,58034052,3257698,2373012,,1320025,,10130122,17080857,12117788,,,10476903,22594691,39675548,18358504,18358504,58034052,,,,,,,,,20369781,77591796,97961577,42988186,54973391,56623934,-1650543,2616980,966437,-2432529,3398966,0.486847,3091677,9137233,,
603374,301308,VALLEY REGIONAL HOSPITAL,243 ELM STREET,CLAREMONT,NH,03743-,SULLIVAN,99930,R,CAH,1,2,10/01/2012,09/30/2013,270.47,,22,2485,231,3995,25,9125,6,382,44,618,25,22,1362,221,2048,20,7300,6,382,44,618,2976728,4823133,5639675,5764346,17029846,22380100,1992569,29301820,11359616,39634119,50993735,,,,,,,4880228,153827,,5098215,,742511,412852,833424,12121057,250667,1108475,16473383,148235,14687437,13186053,715610,,20521290,30657648,310298,30967946,63610293,2311532,1586334,,20228,,6434527,10352621,24775000,,,2830863,27605863,37958484,20567775,25651809,63610293,,,,,,,,,11174737,47640367,58815104,17612310,41202794,44006045,-2803251,5351735,2548484,,2548484,0.574616,2662589,8138813,,
603375,331306,MOSES-LUDINGTON HOSPITAL,1019 WICKER STREET,TICONDEROGA,NY,12883,ESSEX,33000,R,CAH,9,2,01/01/2013,12/31/2013,119.3,,,780,172,1063,15,5475,,127,63,196,15,,358,163,566,15,5475,,127,63,196,98438,1288172,761030,1637469,5651794,6972824,715852,11881675,1846276,19725974,21572250,,,,,,,873488,315966,,923528,,303073,116932,,6239025,1649538,,,,,,,,1649538,,330674,330674,8219237,1132154,516021,,18633,,840310,2507118,11169357,,,,11169357,13676475,-5457238,-5457238,8219237,,,,,,,,,1820933,21330107,23151040,12291672,10859368,12624618,-1765250,727540,-1037710,,-1037710,0.550785,554809,3465685,,
603426,201308,HOULTON REGIONAL HOSPITAL,20 HARTFORD STREET,HOULTON,ME,04730,AROOSTOOK,99920,R,CAH,1,2,10/01/2012,09/30/2013,296.87,,,2520,770,4174,25,9125,,651,209,1088,53,,2520,770,4174,25,9125,,651,209,1088,451008,1239700,1058216,1058216,21177824,24055859,1563565,38287284,16373975,50487623,66861598,,,,,,,121080,,,11497152,-4920670,768382,465482,302696,8504348,193107,1140318,22148935,,6140100,10605414,,387199,13016510,114340,4464370,4578710,26099568,3911529,1519925,69777,883000,,4868957,11253188,10177638,,,395114,10572752,21825940,4207331,4273628,26099568,,,,,,,,,18492038,58187911,76679949,34230405,42449544,47518724,-5069180,2137591,-2931589,,-2931589,0.572635,8183720,13843149,,
603428,220073,MORTON HOSPITAL & MEDICAL CENTER,88 WASHINGTON STREET,TAUNTON,MA,02780,BRISTOL,39300,U,STH,1,4,10/01/2012,12/31/2012,627.71,,,3708,896,6047,119,10948,,831,152,1549,133,,3330,896,5401,107,9844,,831,152,1549,500090,2035818,1511695,2991407,12849042,19235577,751533,27832544,16326850,38298918,54625768,3339332,,12849042,14403,,,45708,,,27491107,-16593063,1588923,493513,,16357222,3000000,828293,39870000,2188226,1404383,8875999,,,55399175,6212813,2524613,8737426,80493823,1331425,4631876,,,,6588117,12551418,,,,81181774,81181774,93733192,-13239369,-13239369,80493823,7375176,,,21577,557563,0.0756,,,16326850,38298918,54625768,24639779,29985989,32084619,-2098630,,-2098630,,-2098630,0.509513,4117124,10955126,,
